epoch,accuracy,loss,val_accuracy,val_loss
0,0.2524999976158142,2.1536478996276855,0.44999998807907104,2.049586534500122
1,0.45625001192092896,1.5712047815322876,0.5733333230018616,1.804924726486206
2,0.59375,1.2162680625915527,0.6399999856948853,1.511132001876831
3,0.6604166626930237,1.0456942319869995,0.800000011920929,1.1609313488006592
4,0.7145833373069763,0.8630530834197998,0.903333306312561,0.8291960954666138
5,0.7666666507720947,0.7435569167137146,0.8966666460037231,0.5568668842315674
6,0.7925000190734863,0.6435068845748901,0.9466666579246521,0.44596177339553833
7,0.815416693687439,0.5928602814674377,0.9433333277702332,0.3405064344406128
8,0.8308333158493042,0.5418989658355713,0.9633333086967468,0.24335184693336487
9,0.8475000262260437,0.4901493191719055,0.95333331823349,0.22915254533290863
10,0.8525000214576721,0.4571770131587982,0.9633333086967468,0.18782788515090942
11,0.8708333373069763,0.4137026369571686,0.9700000286102295,0.1769547313451767
12,0.8862500190734863,0.3676888942718506,0.9700000286102295,0.13544242084026337
13,0.8941666483879089,0.3532060384750366,0.9800000190734863,0.11424782127141953
14,0.8966666460037231,0.3224477767944336,0.9800000190734863,0.10852581262588501
15,0.8974999785423279,0.3040120303630829,0.9866666793823242,0.09985045343637466
16,0.9108333587646484,0.27685070037841797,0.9866666793823242,0.08996935933828354
17,0.9075000286102295,0.29728466272354126,0.9800000190734863,0.09383197128772736
18,0.9295833110809326,0.25548774003982544,0.9800000190734863,0.08558577299118042
19,0.918749988079071,0.24428953230381012,0.9866666793823242,0.07819605618715286
20,0.9300000071525574,0.22326527535915375,0.9900000095367432,0.06139078736305237
21,0.9304166436195374,0.2116776555776596,0.9933333396911621,0.048451974987983704
22,0.9312499761581421,0.23918095231056213,0.9866666793823242,0.0630425289273262
23,0.9266666769981384,0.21615539491176605,0.9866666793823242,0.05032449588179588
24,0.9300000071525574,0.20574338734149933,0.9866666793823242,0.04671548679471016
25,0.9429166913032532,0.1938628852367401,0.9766666889190674,0.08053183555603027
26,0.9437500238418579,0.18145042657852173,0.9900000095367432,0.05125119909644127
27,0.9437500238418579,0.17809614539146423,0.9933333396911621,0.05078067630529404
28,0.9470833539962769,0.17469684779644012,0.9933333396911621,0.04155419021844864
29,0.9566666483879089,0.15821866691112518,0.9900000095367432,0.03494419902563095
30,0.9429166913032532,0.17471449077129364,0.9800000190734863,0.06299102306365967
31,0.9449999928474426,0.17323802411556244,0.9900000095367432,0.03990192338824272
32,0.9458333253860474,0.17661753296852112,0.9866666793823242,0.04119176045060158
33,0.9383333325386047,0.1688750833272934,0.9900000095367432,0.03865501657128334
34,0.956250011920929,0.13679678738117218,0.996666669845581,0.03493257984519005
35,0.95333331823349,0.1576448380947113,0.9900000095367432,0.029408080503344536
36,0.9516666531562805,0.1576954871416092,0.9900000095367432,0.035778965801000595
37,0.9558333158493042,0.13499362766742706,0.996666669845581,0.026860719546675682
38,0.9549999833106995,0.14352475106716156,0.9900000095367432,0.03023858368396759
39,0.9470833539962769,0.14190810918807983,0.9933333396911621,0.03361741825938225
40,0.9633333086967468,0.11319554597139359,0.9933333396911621,0.02990085631608963
41,0.9495833516120911,0.13757605850696564,0.996666669845581,0.028023162856698036
42,0.9587500095367432,0.12853936851024628,0.9900000095367432,0.030728889629244804
43,0.9591666460037231,0.1267012059688568,0.9933333396911621,0.02579052932560444
44,0.9549999833106995,0.1256350874900818,0.9900000095367432,0.028664706274867058
45,0.9579166769981384,0.12621475756168365,0.9900000095367432,0.03521505370736122
46,0.956250011920929,0.1300019472837448,0.996666669845581,0.026178285479545593
47,0.9641666412353516,0.10425187647342682,0.9900000095367432,0.046355243772268295
48,0.9641666412353516,0.11684323847293854,0.996666669845581,0.020566977560520172
49,0.9624999761581421,0.1243755966424942,0.9933333396911621,0.01881147176027298
50,0.9587500095367432,0.11025232821702957,0.9866666793823242,0.04190234839916229
51,0.9595833420753479,0.11825568228960037,0.9933333396911621,0.02168799377977848
52,0.9608333110809326,0.11513222008943558,0.9933333396911621,0.02262965776026249
53,0.9608333110809326,0.12622877955436707,0.9866666793823242,0.03615254536271095
54,0.965416669845581,0.10792066901922226,0.9933333396911621,0.02786872535943985
55,0.972083330154419,0.09639909118413925,0.996666669845581,0.020918233320116997
56,0.9695833325386047,0.10102823376655579,0.996666669845581,0.0221993587911129
57,0.9608333110809326,0.11566939949989319,0.996666669845581,0.01934555172920227
58,0.971666693687439,0.09464036673307419,0.9933333396911621,0.026176096871495247
59,0.9750000238418579,0.0823739543557167,0.9933333396911621,0.020371442660689354
60,0.9629166722297668,0.10376827418804169,0.9900000095367432,0.031572241336107254
61,0.9641666412353516,0.10934948921203613,0.996666669845581,0.01819460839033127
62,0.9574999809265137,0.11731982976198196,0.9933333396911621,0.023456962779164314
63,0.9700000286102295,0.09065786004066467,0.9866666793823242,0.03277977928519249
64,0.965833306312561,0.09518495202064514,0.996666669845581,0.01494423858821392
65,0.972083330154419,0.0891295000910759,0.996666669845581,0.011332577094435692
66,0.9645833373069763,0.10753638297319412,0.996666669845581,0.01906488463282585
67,0.9695833325386047,0.0952523946762085,0.9933333396911621,0.030841607600450516
68,0.9695833325386047,0.08939243853092194,0.9933333396911621,0.029536886140704155
69,0.965833306312561,0.0951475203037262,0.996666669845581,0.017592331394553185
70,0.9666666388511658,0.10467980057001114,0.9933333396911621,0.025405511260032654
71,0.971666693687439,0.10111066699028015,0.996666669845581,0.020775750279426575
72,0.9679166674613953,0.09602778404951096,0.996666669845581,0.022030234336853027
73,0.972083330154419,0.08761183172464371,0.9866666793823242,0.03196408227086067
74,0.971666693687439,0.08934075385332108,0.9866666793823242,0.023082364350557327
75,0.9637500047683716,0.09814269095659256,0.996666669845581,0.01905186101794243
76,0.9750000238418579,0.09381100535392761,0.9900000095367432,0.023627227172255516
77,0.9695833325386047,0.08782412111759186,0.9933333396911621,0.021654890850186348
78,0.9695833325386047,0.07981492578983307,0.9933333396911621,0.021517302840948105
79,0.972083330154419,0.084095299243927,0.9833333492279053,0.04895535111427307
80,0.972083330154419,0.07624024897813797,0.996666669845581,0.019915491342544556
