epoch,accuracy,loss,val_accuracy,val_loss
0,0.668380081653595,0.9117743372917175,0.20000000298023224,1.85194993019104
1,0.8835669755935669,0.40062040090560913,0.2218068540096283,1.9272438287734985
2,0.9097352027893066,0.29184532165527344,0.35950157046318054,2.0777084827423096
3,0.925000011920929,0.24301697313785553,0.9003115296363831,0.31202787160873413
4,0.9265576601028442,0.22402210533618927,0.9426791071891785,0.17231880128383636
5,0.9372274279594421,0.19818833470344543,0.9489096403121948,0.15929238498210907
6,0.9429906606674194,0.17718830704689026,0.8984423875808716,0.2814509868621826
7,0.9454050064086914,0.16534480452537537,0.7214953303337097,1.068238615989685
8,0.9500778913497925,0.15471409261226654,0.9489096403121948,0.1373053789138794
9,0.9492211937904358,0.14707937836647034,0.627414345741272,1.1273467540740967
10,0.954517126083374,0.13795045018196106,0.9482865929603577,0.13934068381786346
11,0.9561526775360107,0.13590526580810547,0.6872274279594421,1.0324010848999023
12,0.9533489346504211,0.13616332411766052,0.740809977054596,0.8012861609458923
13,0.9573208689689636,0.12337923794984818,0.9383177757263184,0.17866775393486023
14,0.9661993980407715,0.09935601055622101,0.9651090502738953,0.0952717587351799
15,0.9699376821517944,0.08988621830940247,0.8280373811721802,0.5796489119529724
16,0.9686136841773987,0.09499812126159668,0.9557632207870483,0.12373229116201401
17,0.9711059331893921,0.08602630347013474,0.9376947283744812,0.18191643059253693
18,0.9708722829818726,0.08486630767583847,0.9551401734352112,0.12178980559110641
19,0.9725856781005859,0.083150714635849,0.9663551449775696,0.09897662699222565
20,0.9764797687530518,0.07165148854255676,0.9626168012619019,0.09664908796548843
21,0.977258563041687,0.07280228286981583,0.9601246118545532,0.11198779940605164
22,0.9779595136642456,0.06829296052455902,0.9538940787315369,0.1410858929157257
23,0.9776479601860046,0.06829670816659927,0.9570093750953674,0.11603768914937973
24,0.977570116519928,0.06863173097372055,0.968224287033081,0.1006675437092781
